             #Energy(eV)             XX(W/K/m/s)             YY(W/K/m/s)             ZZ(W/K/m/s)        Average(W/K/m/s)
     -0.200000000000E+01      0.281063955881E+15      0.331562736652E+15      0.383602631184E+15      0.332076441239E+15
     -0.199599599600E+01      0.286126928153E+15      0.338227204760E+15      0.391330021232E+15      0.338561384715E+15
     -0.199199199199E+01      0.291035973803E+15      0.344642242546E+15      0.398752569019E+15      0.344810261789E+15
     -0.198798798799E+01      0.295803922167E+15      0.350797144689E+15      0.405845767577E+15      0.350815611478E+15
     -0.198398398398E+01      0.300447476171E+15      0.356688520754E+15      0.412592661248E+15      0.356576219391E+15
     -0.197997997998E+01      0.304985381029E+15      0.362319210134E+15      0.418983485508E+15      0.362096025557E+15
     -0.197597597598E+01      0.309436597671E+15      0.367696815238E+15      0.425014971172E+15      0.367382794694E+15
     -0.197197197197E+01      0.313818685515E+15      0.372832097240E+15      0.430689409464E+15      0.372446730740E+15
     -0.196796796797E+01      0.318146566292E+15      0.377737493029E+15      0.436013589724E+15      0.377299216348E+15
     -0.196396396396E+01      0.322431768794E+15      0.382425947308E+15      0.440997718859E+15      0.381951811654E+15
     -0.195995995996E+01      0.326682166295E+15      0.386910139934E+15      0.445654415478E+15      0.386415573902E+15
     -0.195595595596E+01      0.330902143108E+15      0.391202075924E+15      0.449997849218E+15      0.390700689416E+15
     -0.195195195195E+01      0.335093086238E+15      0.395312940071E+15      0.454043073251E+15      0.394816366520E+15
     -0.194794794795E+01      0.339254096933E+15      0.399253118003E+15      0.457805577464E+15      0.398770930800E+15
     -0.194394394394E+01      0.343382841348E+15      0.403032333766E+15      0.461301069741E+15      0.402572081618E+15
     -0.193993993994E+01      0.347476486442E+15      0.406659909983E+15      0.464545469987E+15      0.406227288804E+15
     -0.193593593594E+01      0.351532677286E+15      0.410145179638E+15      0.467555075468E+15      0.409744310797E+15
     -0.193193193193E+01      0.355550499850E+15      0.413498050911E+15      0.470346830255E+15      0.413131793672E+15
