  #energy          xx             yy              zz              xy              yz              zx
  0.92000000E+00  0.30104929E+01  0.30104929E+01  0.30104929E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.93370000E+00  0.30134228E+01  0.30134228E+01  0.30134228E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.94750000E+00  0.30164627E+01  0.30164627E+01  0.30164627E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.96120000E+00  0.30195689E+01  0.30195689E+01  0.30195689E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.97500000E+00  0.30227869E+01  0.30227869E+01  0.30227869E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.98870000E+00  0.30260701E+01  0.30260701E+01  0.30260701E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.10025000E+01  0.30294668E+01  0.30294668E+01  0.30294668E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.10162000E+01  0.30329284E+01  0.30329284E+01  0.30329284E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.10300000E+01  0.30365065E+01  0.30365065E+01  0.30365065E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.10437000E+01  0.30401509E+01  0.30401509E+01  0.30401509E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.10575000E+01  0.30439167E+01  0.30439167E+01  0.30439167E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.10712000E+01  0.30477516E+01  0.30477516E+01  0.30477516E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.10850000E+01  0.30517143E+01  0.30517143E+01  0.30517143E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.10987000E+01  0.30557503E+01  0.30557503E+01  0.30557503E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.11125000E+01  0.30599217E+01  0.30599217E+01  0.30599217E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.11262000E+01  0.30641715E+01  0.30641715E+01  0.30641715E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.11399000E+01  0.30685335E+01  0.30685335E+01  0.30685335E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.11537000E+01  0.30730448E+01  0.30730448E+01  0.30730448E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.11674000E+01  0.30776436E+01  0.30776436E+01  0.30776436E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.11812000E+01  0.30824006E+01  0.30824006E+01  0.30824006E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.11949000E+01  0.30872497E+01  0.30872497E+01  0.30872497E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.12087000E+01  0.30922639E+01  0.30922639E+01  0.30922639E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.12224000E+01  0.30973716E+01  0.30973716E+01  0.30973716E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.12362000E+01  0.31026466E+01  0.31026466E+01  0.31026466E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
