# Theta        Phi         Effective-Mass   Fermi_Velocity   Fitting-Precision
   0.00        0.00            0.069           0.719E+06         0.76E-04
   0.00       10.00            0.069           0.719E+06         0.76E-04
   0.00       20.00            0.069           0.719E+06         0.76E-04
   0.00       30.00            0.069           0.719E+06         0.76E-04
   0.00       40.00            0.069           0.719E+06         0.76E-04
   0.00       50.00            0.069           0.719E+06         0.76E-04
   0.00       60.00            0.069           0.719E+06         0.76E-04
   0.00       70.00            0.069           0.719E+06         0.76E-04
   0.00       80.00            0.069           0.719E+06         0.76E-04
   0.00       90.00            0.069           0.719E+06         0.76E-04
   0.00      100.00            0.069           0.719E+06         0.76E-04
   0.00      110.00            0.069           0.719E+06         0.76E-04
   0.00      120.00            0.069           0.719E+06         0.76E-04
   0.00      130.00            0.069           0.719E+06         0.76E-04
   0.00      140.00            0.069           0.719E+06         0.76E-04
   0.00      150.00            0.069           0.719E+06         0.76E-04
   0.00      160.00            0.069           0.719E+06         0.76E-04
   0.00      170.00            0.069           0.719E+06         0.76E-04
   0.00      180.00            0.069           0.719E+06         0.76E-04
   0.00      190.00            0.069           0.719E+06         0.76E-04
   0.00      200.00            0.069           0.719E+06         0.76E-04
   0.00      210.00            0.069           0.719E+06         0.76E-04
   0.00      220.00            0.069           0.719E+06         0.76E-04
   0.00      230.00            0.069           0.719E+06         0.76E-04
   0.00      240.00            0.069           0.719E+06         0.76E-04
   0.00      250.00            0.069           0.719E+06         0.76E-04
   0.00      260.00            0.069           0.719E+06         0.76E-04
   0.00      270.00            0.069           0.719E+06         0.76E-04
   0.00      280.00            0.069           0.719E+06         0.76E-04
   0.00      290.00            0.069           0.719E+06         0.76E-04
   0.00      300.00            0.069           0.719E+06         0.76E-04
   0.00      310.00            0.069           0.719E+06         0.76E-04
   0.00      320.00            0.069           0.719E+06         0.76E-04
   0.00      330.00            0.069           0.719E+06         0.76E-04
   0.00      340.00            0.069           0.719E+06         0.76E-04
   0.00      350.00            0.069           0.719E+06         0.76E-04
   0.00      360.00            0.069           0.719E+06         0.76E-04
  10.59        0.00            0.069           0.715E+06         0.78E-04
  10.59       10.00            0.069           0.715E+06         0.78E-04
  10.59       20.00            0.069           0.715E+06         0.78E-04
  10.59       30.00            0.069           0.715E+06         0.78E-04
  10.59       40.00            0.069           0.715E+06         0.78E-04
  10.59       50.00            0.069           0.715E+06         0.78E-04
  10.59       60.00            0.069           0.715E+06         0.78E-04
  10.59       70.00            0.069           0.715E+06         0.78E-04
  10.59       80.00            0.069           0.715E+06         0.78E-04
  10.59       90.00            0.069           0.715E+06         0.78E-04
  10.59      100.00            0.069           0.715E+06         0.78E-04
  10.59      110.00            0.069           0.715E+06         0.78E-04
  10.59      120.00            0.069           0.715E+06         0.78E-04
  10.59      130.00            0.069           0.715E+06         0.78E-04
  10.59      140.00            0.069           0.715E+06         0.78E-04
  10.59      150.00            0.069           0.715E+06         0.78E-04
  10.59      160.00            0.069           0.715E+06         0.78E-04
  10.59      170.00            0.069           0.715E+06         0.78E-04
  10.59      180.00            0.069           0.715E+06         0.78E-04
  10.59      190.00            0.069           0.715E+06         0.78E-04
  10.59      200.00            0.069           0.715E+06         0.78E-04
  10.59      210.00            0.069           0.715E+06         0.78E-04
  10.59      220.00            0.069           0.715E+06         0.78E-04
  10.59      230.00            0.069           0.715E+06         0.78E-04
  10.59      240.00            0.069           0.715E+06         0.78E-04
  10.59      250.00            0.069           0.715E+06         0.78E-04
  10.59      260.00            0.069           0.715E+06         0.78E-04
  10.59      270.00            0.069           0.715E+06         0.78E-04
  10.59      280.00            0.069           0.715E+06         0.78E-04
  10.59      290.00            0.069           0.715E+06         0.78E-04
  10.59      300.00            0.069           0.715E+06         0.78E-04
  10.59      310.00            0.069           0.715E+06         0.78E-04
  10.59      320.00            0.069           0.715E+06         0.78E-04
  10.59      330.00            0.069           0.715E+06         0.78E-04
  10.59      340.00            0.069           0.715E+06         0.78E-04
  10.59      350.00            0.069           0.715E+06         0.78E-04
  10.59      360.00            0.069           0.715E+06         0.78E-04
  21.18        0.00            0.071           0.707E+06         0.81E-04
  21.18       10.00            0.071           0.707E+06         0.81E-04
  21.18       20.00            0.071           0.707E+06         0.81E-04
  21.18       30.00            0.071           0.706E+06         0.81E-04
  21.18       40.00            0.071           0.706E+06         0.81E-04
  21.18       50.00            0.071           0.706E+06         0.81E-04
  21.18       60.00            0.071           0.706E+06         0.81E-04
  21.18       70.00            0.071           0.707E+06         0.81E-04
  21.18       80.00            0.071           0.707E+06         0.81E-04
  21.18       90.00            0.071           0.707E+06         0.81E-04
  21.18      100.00            0.071           0.707E+06         0.81E-04
  21.18      110.00            0.071           0.707E+06         0.81E-04
  21.18      120.00            0.071           0.706E+06         0.81E-04
  21.18      130.00            0.071           0.706E+06         0.81E-04
  21.18      140.00            0.071           0.706E+06         0.81E-04
  21.18      150.00            0.071           0.706E+06         0.81E-04
  21.18      160.00            0.071           0.707E+06         0.81E-04
  21.18      170.00            0.071           0.707E+06         0.81E-04
  21.18      180.00            0.071           0.707E+06         0.81E-04
  21.18      190.00            0.071           0.707E+06         0.81E-04
  21.18      200.00            0.071           0.707E+06         0.81E-04
  21.18      210.00            0.071           0.706E+06         0.81E-04
  21.18      220.00            0.071           0.706E+06         0.81E-04
  21.18      230.00            0.071           0.706E+06         0.81E-04
  21.18      240.00            0.071           0.706E+06         0.81E-04
  21.18      250.00            0.071           0.707E+06         0.81E-04
  21.18      260.00            0.071           0.707E+06         0.81E-04
  21.18      270.00            0.071           0.707E+06         0.81E-04
  21.18      280.00            0.071           0.707E+06         0.81E-04
  21.18      290.00            0.071           0.707E+06         0.81E-04
  21.18      300.00            0.071           0.706E+06         0.81E-04
  21.18      310.00            0.071           0.706E+06         0.81E-04
  21.18      320.00            0.071           0.706E+06         0.81E-04
  21.18      330.00            0.071           0.706E+06         0.81E-04
  21.18      340.00            0.071           0.707E+06         0.81E-04
  21.18      350.00            0.071           0.707E+06         0.81E-04
  21.18      360.00            0.071           0.707E+06         0.81E-04
  31.76        0.00            0.073           0.697E+06         0.84E-04
  31.76       10.00            0.074           0.697E+06         0.85E-04
  31.76       20.00            0.074           0.697E+06         0.85E-04
  31.76       30.00            0.074           0.696E+06         0.85E-04
  31.76       40.00            0.074           0.695E+06         0.85E-04
  31.76       50.00            0.074           0.695E+06         0.85E-04
  31.76       60.00            0.074           0.696E+06         0.85E-04
  31.76       70.00            0.074           0.697E+06         0.85E-04
  31.76       80.00            0.074           0.697E+06         0.85E-04
  31.76       90.00            0.073           0.697E+06         0.84E-04
  31.76      100.00            0.074           0.697E+06         0.85E-04
  31.76      110.00            0.074           0.697E+06         0.85E-04
  31.76      120.00            0.074           0.696E+06         0.85E-04
  31.76      130.00            0.074           0.695E+06         0.85E-04
  31.76      140.00            0.074           0.695E+06         0.85E-04
  31.76      150.00            0.074           0.696E+06         0.85E-04
  31.76      160.00            0.074           0.697E+06         0.85E-04
  31.76      170.00            0.074           0.697E+06         0.85E-04
  31.76      180.00            0.073           0.697E+06         0.84E-04
  31.76      190.00            0.074           0.697E+06         0.85E-04
  31.76      200.00            0.074           0.697E+06         0.85E-04
  31.76      210.00            0.074           0.696E+06         0.85E-04
  31.76      220.00            0.074           0.695E+06         0.85E-04
  31.76      230.00            0.074           0.695E+06         0.85E-04
  31.76      240.00            0.074           0.696E+06         0.85E-04
  31.76      250.00            0.074           0.697E+06         0.85E-04
  31.76      260.00            0.074           0.697E+06         0.85E-04
  31.76      270.00            0.073           0.697E+06         0.84E-04
  31.76      280.00            0.074           0.697E+06         0.85E-04
  31.76      290.00            0.074           0.697E+06         0.85E-04
  31.76      300.00            0.074           0.696E+06         0.85E-04
  31.76      310.00            0.074           0.695E+06         0.85E-04
  31.76      320.00            0.074           0.695E+06         0.85E-04
  31.76      330.00            0.074           0.696E+06         0.85E-04
  31.76      340.00            0.074           0.697E+06         0.85E-04
  31.76      350.00            0.074           0.697E+06         0.85E-04
  31.76      360.00            0.073           0.697E+06         0.84E-04
  42.35        0.00            0.075           0.692E+06         0.87E-04
  42.35       10.00            0.075           0.692E+06         0.87E-04
  42.35       20.00            0.075           0.690E+06         0.88E-04
  42.35       30.00            0.076           0.688E+06         0.88E-04
  42.35       40.00            0.076           0.687E+06         0.89E-04
  42.35       50.00            0.076           0.687E+06         0.89E-04
  42.35       60.00            0.076           0.688E+06         0.88E-04
  42.35       70.00            0.075           0.690E+06         0.88E-04
  42.35       80.00            0.075           0.692E+06         0.87E-04
  42.35       90.00            0.075           0.692E+06         0.87E-04
  42.35      100.00            0.075           0.692E+06         0.87E-04
  42.35      110.00            0.075           0.690E+06         0.88E-04
  42.35      120.00            0.076           0.688E+06         0.88E-04
  42.35      130.00            0.076           0.687E+06         0.89E-04
  42.35      140.00            0.076           0.687E+06         0.89E-04
  42.35      150.00            0.076           0.688E+06         0.88E-04
  42.35      160.00            0.075           0.690E+06         0.88E-04
  42.35      170.00            0.075           0.692E+06         0.87E-04
  42.35      180.00            0.075           0.692E+06         0.87E-04
  42.35      190.00            0.075           0.692E+06         0.87E-04
  42.35      200.00            0.075           0.690E+06         0.88E-04
  42.35      210.00            0.076           0.688E+06         0.88E-04
  42.35      220.00            0.076           0.687E+06         0.89E-04
  42.35      230.00            0.076           0.687E+06         0.89E-04
  42.35      240.00            0.076           0.688E+06         0.88E-04
  42.35      250.00            0.075           0.690E+06         0.88E-04
  42.35      260.00            0.075           0.692E+06         0.87E-04
  42.35      270.00            0.075           0.692E+06         0.87E-04
  42.35      280.00            0.075           0.692E+06         0.87E-04
  42.35      290.00            0.075           0.690E+06         0.88E-04
  42.35      300.00            0.076           0.688E+06         0.88E-04
  42.35      310.00            0.076           0.687E+06         0.89E-04
  42.35      320.00            0.076           0.687E+06         0.89E-04
  42.35      330.00            0.076           0.688E+06         0.88E-04
  42.35      340.00            0.075           0.690E+06         0.88E-04
  42.35      350.00            0.075           0.692E+06         0.87E-04
  42.35      360.00            0.075           0.692E+06         0.87E-04
  52.94        0.00            0.074           0.694E+06         0.86E-04
  52.94       10.00            0.075           0.693E+06         0.86E-04
  52.94       20.00            0.075           0.690E+06         0.88E-04
  52.94       30.00            0.076           0.686E+06         0.89E-04
  52.94       40.00            0.077           0.684E+06         0.90E-04
  52.94       50.00            0.077           0.684E+06         0.90E-04
  52.94       60.00            0.076           0.686E+06         0.89E-04
  52.94       70.00            0.075           0.690E+06         0.88E-04
  52.94       80.00            0.075           0.693E+06         0.86E-04
  52.94       90.00            0.074           0.694E+06         0.86E-04
  52.94      100.00            0.075           0.693E+06         0.86E-04
  52.94      110.00            0.075           0.690E+06         0.88E-04
  52.94      120.00            0.076           0.686E+06         0.89E-04
  52.94      130.00            0.077           0.684E+06         0.90E-04
  52.94      140.00            0.077           0.683E+06         0.90E-04
  52.94      150.00            0.076           0.686E+06         0.89E-04
  52.94      160.00            0.075           0.690E+06         0.88E-04
  52.94      170.00            0.075           0.693E+06         0.86E-04
  52.94      180.00            0.074           0.694E+06         0.86E-04
  52.94      190.00            0.075           0.693E+06         0.86E-04
  52.94      200.00            0.075           0.690E+06         0.88E-04
  52.94      210.00            0.076           0.686E+06         0.89E-04
  52.94      220.00            0.077           0.683E+06         0.90E-04
  52.94      230.00            0.077           0.683E+06         0.90E-04
  52.94      240.00            0.076           0.686E+06         0.89E-04
  52.94      250.00            0.075           0.690E+06         0.88E-04
  52.94      260.00            0.075           0.693E+06         0.86E-04
  52.94      270.00            0.074           0.694E+06         0.86E-04
  52.94      280.00            0.075           0.693E+06         0.86E-04
  52.94      290.00            0.075           0.690E+06         0.88E-04
  52.94      300.00            0.076           0.686E+06         0.89E-04
  52.94      310.00            0.077           0.683E+06         0.90E-04
  52.94      320.00            0.077           0.684E+06         0.90E-04
  52.94      330.00            0.076           0.686E+06         0.89E-04
  52.94      340.00            0.075           0.690E+06         0.88E-04
  52.94      350.00            0.075           0.693E+06         0.86E-04
  52.94      360.00            0.074           0.694E+06         0.86E-04
  63.53        0.00            0.072           0.702E+06         0.83E-04
  63.53       10.00            0.073           0.700E+06         0.83E-04
  63.53       20.00            0.074           0.695E+06         0.86E-04
  63.53       30.00            0.076           0.689E+06         0.88E-04
  63.53       40.00            0.077           0.685E+06         0.90E-04
  63.53       50.00            0.077           0.685E+06         0.90E-04
  63.53       60.00            0.076           0.689E+06         0.88E-04
  63.53       70.00            0.074           0.695E+06         0.86E-04
  63.53       80.00            0.073           0.700E+06         0.83E-04
  63.53       90.00            0.072           0.702E+06         0.83E-04
  63.53      100.00            0.073           0.700E+06         0.83E-04
  63.53      110.00            0.074           0.695E+06         0.86E-04
  63.53      120.00            0.076           0.689E+06         0.88E-04
  63.53      130.00            0.077           0.685E+06         0.90E-04
  63.53      140.00            0.077           0.685E+06         0.90E-04
  63.53      150.00            0.076           0.689E+06         0.88E-04
  63.53      160.00            0.074           0.695E+06         0.86E-04
  63.53      170.00            0.073           0.700E+06         0.83E-04
  63.53      180.00            0.072           0.702E+06         0.83E-04
  63.53      190.00            0.073           0.700E+06         0.83E-04
  63.53      200.00            0.074           0.695E+06         0.86E-04
  63.53      210.00            0.076           0.689E+06         0.88E-04
  63.53      220.00            0.077           0.685E+06         0.90E-04
  63.53      230.00            0.077           0.685E+06         0.90E-04
  63.53      240.00            0.076           0.689E+06         0.88E-04
  63.53      250.00            0.074           0.695E+06         0.86E-04
  63.53      260.00            0.073           0.700E+06         0.83E-04
  63.53      270.00            0.072           0.702E+06         0.83E-04
  63.53      280.00            0.073           0.700E+06         0.83E-04
  63.53      290.00            0.074           0.695E+06         0.86E-04
  63.53      300.00            0.076           0.689E+06         0.88E-04
  63.53      310.00            0.077           0.685E+06         0.90E-04
  63.53      320.00            0.077           0.685E+06         0.90E-04
  63.53      330.00            0.076           0.689E+06         0.88E-04
  63.53      340.00            0.074           0.695E+06         0.86E-04
  63.53      350.00            0.073           0.700E+06         0.83E-04
  63.53      360.00            0.072           0.702E+06         0.83E-04
  74.12        0.00            0.070           0.711E+06         0.79E-04
  74.12       10.00            0.071           0.709E+06         0.80E-04
  74.12       20.00            0.072           0.702E+06         0.83E-04
  74.12       30.00            0.074           0.694E+06         0.86E-04
  74.12       40.00            0.076           0.689E+06         0.88E-04
  74.12       50.00            0.076           0.689E+06         0.88E-04
  74.12       60.00            0.074           0.694E+06         0.86E-04
  74.12       70.00            0.072           0.702E+06         0.83E-04
  74.12       80.00            0.071           0.709E+06         0.80E-04
  74.12       90.00            0.070           0.711E+06         0.79E-04
  74.12      100.00            0.071           0.709E+06         0.80E-04
  74.12      110.00            0.072           0.702E+06         0.83E-04
  74.12      120.00            0.074           0.694E+06         0.86E-04
  74.12      130.00            0.076           0.689E+06         0.88E-04
  74.12      140.00            0.076           0.689E+06         0.88E-04
  74.12      150.00            0.074           0.694E+06         0.86E-04
  74.12      160.00            0.072           0.702E+06         0.83E-04
  74.12      170.00            0.071           0.709E+06         0.80E-04
  74.12      180.00            0.070           0.711E+06         0.79E-04
  74.12      190.00            0.071           0.709E+06         0.80E-04
  74.12      200.00            0.072           0.702E+06         0.83E-04
  74.12      210.00            0.074           0.694E+06         0.86E-04
  74.12      220.00            0.076           0.689E+06         0.88E-04
  74.12      230.00            0.076           0.689E+06         0.88E-04
  74.12      240.00            0.074           0.694E+06         0.86E-04
  74.12      250.00            0.072           0.702E+06         0.83E-04
  74.12      260.00            0.071           0.709E+06         0.80E-04
  74.12      270.00            0.070           0.711E+06         0.79E-04
  74.12      280.00            0.071           0.709E+06         0.80E-04
  74.12      290.00            0.072           0.702E+06         0.83E-04
  74.12      300.00            0.074           0.694E+06         0.86E-04
  74.12      310.00            0.076           0.689E+06         0.88E-04
  74.12      320.00            0.076           0.689E+06         0.88E-04
  74.12      330.00            0.074           0.694E+06         0.86E-04
  74.12      340.00            0.072           0.702E+06         0.83E-04
  74.12      350.00            0.071           0.709E+06         0.80E-04
  74.12      360.00            0.070           0.711E+06         0.79E-04
  84.71        0.00            0.069           0.718E+06         0.77E-04
  84.71       10.00            0.069           0.715E+06         0.78E-04
  84.71       20.00            0.071           0.707E+06         0.81E-04
  84.71       30.00            0.073           0.698E+06         0.84E-04
  84.71       40.00            0.075           0.692E+06         0.86E-04
  84.71       50.00            0.075           0.692E+06         0.86E-04
  84.71       60.00            0.073           0.698E+06         0.84E-04
  84.71       70.00            0.071           0.707E+06         0.81E-04
  84.71       80.00            0.069           0.715E+06         0.78E-04
  84.71       90.00            0.069           0.718E+06         0.77E-04
  84.71      100.00            0.069           0.715E+06         0.78E-04
  84.71      110.00            0.071           0.707E+06         0.81E-04
  84.71      120.00            0.073           0.698E+06         0.84E-04
  84.71      130.00            0.075           0.692E+06         0.86E-04
  84.71      140.00            0.075           0.692E+06         0.86E-04
  84.71      150.00            0.073           0.698E+06         0.84E-04
  84.71      160.00            0.071           0.707E+06         0.81E-04
  84.71      170.00            0.069           0.715E+06         0.78E-04
  84.71      180.00            0.069           0.718E+06         0.77E-04
  84.71      190.00            0.069           0.715E+06         0.78E-04
  84.71      200.00            0.071           0.707E+06         0.81E-04
  84.71      210.00            0.073           0.698E+06         0.84E-04
  84.71      220.00            0.075           0.692E+06         0.86E-04
  84.71      230.00            0.075           0.692E+06         0.86E-04
  84.71      240.00            0.073           0.698E+06         0.84E-04
  84.71      250.00            0.071           0.707E+06         0.81E-04
  84.71      260.00            0.069           0.715E+06         0.78E-04
  84.71      270.00            0.069           0.718E+06         0.77E-04
  84.71      280.00            0.069           0.715E+06         0.78E-04
  84.71      290.00            0.071           0.707E+06         0.81E-04
  84.71      300.00            0.073           0.698E+06         0.84E-04
  84.71      310.00            0.075           0.692E+06         0.86E-04
  84.71      320.00            0.075           0.692E+06         0.86E-04
  84.71      330.00            0.073           0.698E+06         0.84E-04
  84.71      340.00            0.071           0.707E+06         0.81E-04
  84.71      350.00            0.069           0.715E+06         0.78E-04
  84.71      360.00            0.069           0.718E+06         0.77E-04
  95.29        0.00            0.069           0.718E+06         0.77E-04
  95.29       10.00            0.069           0.715E+06         0.78E-04
  95.29       20.00            0.071           0.707E+06         0.81E-04
  95.29       30.00            0.073           0.698E+06         0.84E-04
  95.29       40.00            0.075           0.692E+06         0.86E-04
  95.29       50.00            0.075           0.692E+06         0.86E-04
  95.29       60.00            0.073           0.698E+06         0.84E-04
  95.29       70.00            0.071           0.707E+06         0.81E-04
  95.29       80.00            0.069           0.715E+06         0.78E-04
  95.29       90.00            0.069           0.718E+06         0.77E-04
  95.29      100.00            0.069           0.715E+06         0.78E-04
  95.29      110.00            0.071           0.707E+06         0.81E-04
  95.29      120.00            0.073           0.698E+06         0.84E-04
  95.29      130.00            0.075           0.692E+06         0.86E-04
  95.29      140.00            0.075           0.692E+06         0.86E-04
  95.29      150.00            0.073           0.698E+06         0.84E-04
  95.29      160.00            0.071           0.707E+06         0.81E-04
  95.29      170.00            0.069           0.715E+06         0.78E-04
  95.29      180.00            0.069           0.718E+06         0.77E-04
  95.29      190.00            0.069           0.715E+06         0.78E-04
  95.29      200.00            0.071           0.707E+06         0.81E-04
  95.29      210.00            0.073           0.698E+06         0.84E-04
  95.29      220.00            0.075           0.692E+06         0.86E-04
  95.29      230.00            0.075           0.692E+06         0.86E-04
  95.29      240.00            0.073           0.698E+06         0.84E-04
  95.29      250.00            0.071           0.707E+06         0.81E-04
  95.29      260.00            0.069           0.715E+06         0.78E-04
  95.29      270.00            0.069           0.718E+06         0.77E-04
  95.29      280.00            0.069           0.715E+06         0.78E-04
  95.29      290.00            0.071           0.707E+06         0.81E-04
  95.29      300.00            0.073           0.698E+06         0.84E-04
  95.29      310.00            0.075           0.692E+06         0.86E-04
  95.29      320.00            0.075           0.692E+06         0.86E-04
  95.29      330.00            0.073           0.698E+06         0.84E-04
  95.29      340.00            0.071           0.707E+06         0.81E-04
  95.29      350.00            0.069           0.715E+06         0.78E-04
  95.29      360.00            0.069           0.718E+06         0.77E-04
 105.88        0.00            0.070           0.711E+06         0.79E-04
 105.88       10.00            0.071           0.709E+06         0.80E-04
 105.88       20.00            0.072           0.702E+06         0.83E-04
 105.88       30.00            0.074           0.694E+06         0.86E-04
 105.88       40.00            0.076           0.689E+06         0.88E-04
 105.88       50.00            0.076           0.689E+06         0.88E-04
 105.88       60.00            0.074           0.694E+06         0.86E-04
 105.88       70.00            0.072           0.702E+06         0.83E-04
 105.88       80.00            0.071           0.709E+06         0.80E-04
 105.88       90.00            0.070           0.711E+06         0.79E-04
 105.88      100.00            0.071           0.709E+06         0.80E-04
 105.88      110.00            0.072           0.702E+06         0.83E-04
 105.88      120.00            0.074           0.694E+06         0.86E-04
 105.88      130.00            0.076           0.689E+06         0.88E-04
 105.88      140.00            0.076           0.689E+06         0.88E-04
 105.88      150.00            0.074           0.694E+06         0.86E-04
 105.88      160.00            0.072           0.702E+06         0.83E-04
 105.88      170.00            0.071           0.709E+06         0.80E-04
 105.88      180.00            0.070           0.711E+06         0.79E-04
 105.88      190.00            0.071           0.709E+06         0.80E-04
 105.88      200.00            0.072           0.702E+06         0.83E-04
 105.88      210.00            0.074           0.694E+06         0.86E-04
 105.88      220.00            0.076           0.689E+06         0.88E-04
 105.88      230.00            0.076           0.689E+06         0.88E-04
 105.88      240.00            0.074           0.694E+06         0.86E-04
 105.88      250.00            0.072           0.702E+06         0.83E-04
 105.88      260.00            0.071           0.709E+06         0.80E-04
 105.88      270.00            0.070           0.711E+06         0.79E-04
 105.88      280.00            0.071           0.709E+06         0.80E-04
 105.88      290.00            0.072           0.702E+06         0.83E-04
 105.88      300.00            0.074           0.694E+06         0.86E-04
 105.88      310.00            0.076           0.689E+06         0.88E-04
 105.88      320.00            0.076           0.689E+06         0.88E-04
 105.88      330.00            0.074           0.694E+06         0.86E-04
 105.88      340.00            0.072           0.702E+06         0.83E-04
 105.88      350.00            0.071           0.709E+06         0.80E-04
 105.88      360.00            0.070           0.711E+06         0.79E-04
 116.47        0.00            0.072           0.702E+06         0.83E-04
 116.47       10.00            0.073           0.700E+06         0.83E-04
 116.47       20.00            0.074           0.695E+06         0.86E-04
 116.47       30.00            0.076           0.689E+06         0.88E-04
 116.47       40.00            0.077           0.685E+06         0.90E-04
 116.47       50.00            0.077           0.685E+06         0.90E-04
 116.47       60.00            0.076           0.689E+06         0.88E-04
 116.47       70.00            0.074           0.695E+06         0.86E-04
 116.47       80.00            0.073           0.700E+06         0.83E-04
 116.47       90.00            0.072           0.702E+06         0.83E-04
 116.47      100.00            0.073           0.700E+06         0.83E-04
 116.47      110.00            0.074           0.695E+06         0.86E-04
 116.47      120.00            0.076           0.689E+06         0.88E-04
 116.47      130.00            0.077           0.685E+06         0.90E-04
 116.47      140.00            0.077           0.685E+06         0.90E-04
 116.47      150.00            0.076           0.689E+06         0.88E-04
 116.47      160.00            0.074           0.695E+06         0.86E-04
 116.47      170.00            0.073           0.700E+06         0.83E-04
 116.47      180.00            0.072           0.702E+06         0.83E-04
 116.47      190.00            0.073           0.700E+06         0.83E-04
 116.47      200.00            0.074           0.695E+06         0.86E-04
 116.47      210.00            0.076           0.689E+06         0.88E-04
 116.47      220.00            0.077           0.685E+06         0.90E-04
 116.47      230.00            0.077           0.685E+06         0.90E-04
 116.47      240.00            0.076           0.689E+06         0.88E-04
 116.47      250.00            0.074           0.695E+06         0.86E-04
 116.47      260.00            0.073           0.700E+06         0.83E-04
 116.47      270.00            0.072           0.702E+06         0.83E-04
 116.47      280.00            0.073           0.700E+06         0.83E-04
 116.47      290.00            0.074           0.695E+06         0.86E-04
 116.47      300.00            0.076           0.689E+06         0.88E-04
 116.47      310.00            0.077           0.685E+06         0.90E-04
 116.47      320.00            0.077           0.685E+06         0.90E-04
 116.47      330.00            0.076           0.689E+06         0.88E-04
 116.47      340.00            0.074           0.695E+06         0.86E-04
 116.47      350.00            0.073           0.700E+06         0.83E-04
 116.47      360.00            0.072           0.702E+06         0.83E-04
 127.06        0.00            0.074           0.694E+06         0.86E-04
 127.06       10.00            0.075           0.693E+06         0.86E-04
 127.06       20.00            0.075           0.690E+06         0.88E-04
 127.06       30.00            0.076           0.686E+06         0.89E-04
 127.06       40.00            0.077           0.683E+06         0.90E-04
 127.06       50.00            0.077           0.683E+06         0.90E-04
 127.06       60.00            0.076           0.686E+06         0.89E-04
 127.06       70.00            0.075           0.690E+06         0.88E-04
 127.06       80.00            0.075           0.693E+06         0.86E-04
 127.06       90.00            0.074           0.694E+06         0.86E-04
 127.06      100.00            0.075           0.693E+06         0.86E-04
 127.06      110.00            0.075           0.690E+06         0.88E-04
 127.06      120.00            0.076           0.686E+06         0.89E-04
 127.06      130.00            0.077           0.683E+06         0.90E-04
 127.06      140.00            0.077           0.684E+06         0.90E-04
 127.06      150.00            0.076           0.686E+06         0.89E-04
 127.06      160.00            0.075           0.690E+06         0.88E-04
 127.06      170.00            0.075           0.693E+06         0.86E-04
 127.06      180.00            0.074           0.694E+06         0.86E-04
 127.06      190.00            0.075           0.693E+06         0.86E-04
 127.06      200.00            0.075           0.690E+06         0.88E-04
 127.06      210.00            0.076           0.686E+06         0.89E-04
 127.06      220.00            0.077           0.684E+06         0.90E-04
 127.06      230.00            0.077           0.684E+06         0.90E-04
 127.06      240.00            0.076           0.686E+06         0.89E-04
 127.06      250.00            0.075           0.690E+06         0.88E-04
 127.06      260.00            0.075           0.693E+06         0.86E-04
 127.06      270.00            0.074           0.694E+06         0.86E-04
 127.06      280.00            0.075           0.693E+06         0.86E-04
 127.06      290.00            0.075           0.690E+06         0.88E-04
 127.06      300.00            0.076           0.686E+06         0.89E-04
 127.06      310.00            0.077           0.684E+06         0.90E-04
 127.06      320.00            0.077           0.683E+06         0.90E-04
 127.06      330.00            0.076           0.686E+06         0.89E-04
