#K-Path          Energy      Orbital-Weight
# NKPTS & NBANDS: 364  36
# Band-Index    1
   0.00000    -11.737187     0.000
   0.01008    -11.777442     0.000
   0.02017    -11.819252     0.000
   0.03025    -11.862529     0.000
   0.04034    -11.907212     0.000
   0.05042    -11.953195     0.000
   0.06051    -12.000408     0.000
   0.07059    -12.048739     0.000
   0.08068    -12.098168     0.000
   0.09076    -12.148610     0.000
   0.10085    -12.199975     0.000
   0.11093    -12.252175     0.000
   0.12102    -12.305143     0.000
   0.13110    -12.358819     0.000
   0.14118    -12.413164     0.000
   0.15127    -12.468073     0.000
   0.16135    -12.523488     0.000
   0.17144    -12.579379     0.000
   0.18152    -12.635679     0.000
   0.19161    -12.692336     0.000
   0.20169    -12.749302     0.000
   0.21178    -12.806537     0.000
   0.22186    -12.864002     0.000
   0.23195    -12.921621     0.000
   0.24203    -12.979419     0.000
   0.25212    -13.037298     0.000
   0.26220    -13.095266     0.000
   0.27228    -13.153276     0.000
   0.28237    -13.211304     0.000
   0.29245    -13.269313     0.000
   0.30254    -13.327279     0.000
   0.31262    -13.385178     0.000
   0.32271    -13.442984     0.000
   0.33279    -13.500676     0.000
   0.34288    -13.558234     0.000
   0.35296    -13.615648     0.000
   0.36305    -13.672874     0.000
   0.37313    -13.729917     0.000
   0.38322    -13.786742     0.000
   0.39330    -13.843350     0.000
   0.40338    -13.899720     0.000
   0.41347    -13.955828     0.000
   0.42355    -14.011672     0.000
   0.43364    -14.067237     0.000
   0.44372    -14.122518     0.000
   0.45381    -14.177496     0.000
   0.46389    -14.232168     0.000
   0.47398    -14.286508     0.000
   0.48406    -14.340513     0.000
   0.49415    -14.394170     0.000
   0.50423    -14.447482     0.000
   0.51432    -14.500432     0.000
   0.52440    -14.553006     0.000
   0.53448    -14.605209     0.000
   0.54457    -14.657028     0.000
   0.55465    -14.708460     0.000
   0.56474    -14.759498     0.000
   0.57482    -14.810127     0.000
   0.58491    -14.860350     0.000
   0.59499    -14.910142     0.000
   0.60508    -14.959520     0.000
   0.61516    -15.008466     0.000
   0.62525    -15.056980     0.000
   0.63533    -15.105057     0.000
   0.64542    -15.152694     0.000
   0.65550    -15.199875     0.000
   0.66558    -15.246608     0.000
   0.67567    -15.292890     0.000
   0.68575    -15.338710     0.000
   0.69584    -15.384062     0.000
   0.70592    -15.428952     0.000
   0.71601    -15.473372     0.000
   0.72609    -15.517315     0.000
   0.73618    -15.560778     0.000
   0.74626    -15.603758     0.000
   0.75635    -15.646259     0.000
   0.76643    -15.688271     0.000
   0.77652    -15.729795     0.000
   0.78660    -15.770824     0.000
   0.79668    -15.811355     0.000
   0.80677    -15.851392     0.000
   0.81685    -15.890929     0.000
   0.82694    -15.929963     0.000
   0.83702    -15.968491     0.000
   0.84711    -16.006513     0.000
   0.85719    -16.044022     0.000
   0.86728    -16.081022     0.000
   0.87736    -16.117505     0.000
   0.88745    -16.153473     0.000
   0.89753    -16.188926     0.000
   0.90762    -16.223860     0.000
   0.91770    -16.258270     0.000
   0.92778    -16.292160     0.000
   0.93787    -16.325525     0.000
   0.94795    -16.358362     0.000
   0.95804    -16.390671     0.000
   0.96812    -16.422454     0.000
   0.97821    -16.453706     0.000
   0.98829    -16.484428     0.000
   0.99838    -16.514616     0.000
   1.00846    -16.544269     0.000
   1.01855    -16.573384     0.000
   1.02863    -16.601965     0.000
   1.03872    -16.630005     0.000
   1.04880    -16.657509     0.000
   1.05888    -16.684470     0.000
   1.06897    -16.710892     0.000
   1.07905    -16.736771     0.000
   1.08914    -16.762107     0.000
   1.09922    -16.786900     0.000
   1.10931    -16.811147     0.000
   1.11939    -16.834848     0.000
   1.12948    -16.858002     0.000
   1.13956    -16.880608     0.000
   1.14965    -16.902663     0.000
   1.15973    -16.924170     0.000
   1.16981    -16.945127     0.000
   1.17990    -16.965534     0.000
   1.18998    -16.985391     0.000
