   #Energy      xx(%)           yy(%)
   0.000      0.1000E+03      0.1000E+03
   0.018      0.9817E+02      0.9817E+02
   0.037      0.9816E+02      0.9816E+02
   0.055      0.9816E+02      0.9816E+02
   0.073      0.9815E+02      0.9815E+02
   0.091      0.9814E+02      0.9814E+02
   0.110      0.9813E+02      0.9813E+02
   0.128      0.9811E+02      0.9811E+02
   0.146      0.9810E+02      0.9810E+02
   0.165      0.9808E+02      0.9808E+02
   0.183      0.9806E+02      0.9806E+02
   0.201      0.9804E+02      0.9804E+02
   0.220      0.9802E+02      0.9802E+02
   0.238      0.9800E+02      0.9800E+02
   0.256      0.9798E+02      0.9798E+02
   0.274      0.9796E+02      0.9796E+02
   0.293      0.9794E+02      0.9794E+02
   0.311      0.9792E+02      0.9792E+02
   0.329      0.9789E+02      0.9789E+02
   0.347      0.9787E+02      0.9787E+02
   0.366      0.9785E+02      0.9785E+02
   0.384      0.9783E+02      0.9783E+02
   0.402      0.9781E+02      0.9781E+02
   0.421      0.9779E+02      0.9779E+02
   0.439      0.9777E+02      0.9777E+02
   0.457      0.9775E+02      0.9775E+02
   0.476      0.9774E+02      0.9774E+02
   0.494      0.9772E+02      0.9772E+02
   0.512      0.9771E+02      0.9771E+02
   0.530      0.9769E+02      0.9769E+02
   0.549      0.9768E+02      0.9768E+02
   0.567      0.9766E+02      0.9766E+02
   0.585      0.9765E+02      0.9765E+02
   0.604      0.9764E+02      0.9764E+02
   0.622      0.9763E+02      0.9763E+02
   0.640      0.9761E+02      0.9761E+02
   0.658      0.9760E+02      0.9760E+02
   0.677      0.9759E+02      0.9759E+02
   0.695      0.9758E+02      0.9758E+02
   0.713      0.9758E+02      0.9758E+02
   0.732      0.9757E+02      0.9757E+02
   0.750      0.9756E+02      0.9756E+02
   0.768      0.9755E+02      0.9755E+02
   0.786      0.9754E+02      0.9754E+02
   0.805      0.9754E+02      0.9754E+02
   0.823      0.9753E+02      0.9753E+02
   0.841      0.9752E+02      0.9752E+02
   0.860      0.9752E+02      0.9752E+02
   0.878      0.9751E+02      0.9751E+02
   0.896      0.9750E+02      0.9750E+02
   0.914      0.9750E+02      0.9750E+02
   0.933      0.9749E+02      0.9749E+02
   0.951      0.9748E+02      0.9748E+02
   0.969      0.9748E+02      0.9748E+02
   0.988      0.9747E+02      0.9747E+02
   1.006      0.9746E+02      0.9746E+02
   1.024      0.9746E+02      0.9746E+02
   1.043      0.9745E+02      0.9745E+02
   1.061      0.9745E+02      0.9745E+02
   1.079      0.9744E+02      0.9744E+02
   1.097      0.9743E+02      0.9743E+02
   1.116      0.9743E+02      0.9743E+02
   1.134      0.9742E+02      0.9742E+02
   1.152      0.9741E+02      0.9741E+02
   1.171      0.9741E+02      0.9741E+02
   1.189      0.9740E+02      0.9740E+02
   1.207      0.9739E+02      0.9739E+02
   1.226      0.9739E+02      0.9739E+02
   1.244      0.9738E+02      0.9738E+02
   1.262      0.9737E+02      0.9737E+02
   1.280      0.9736E+02      0.9736E+02
   1.299      0.9736E+02      0.9736E+02
   1.317      0.9735E+02      0.9735E+02
   1.335      0.9734E+02      0.9734E+02
   1.353      0.9733E+02      0.9733E+02
   1.372      0.9733E+02      0.9733E+02
   1.390      0.9732E+02      0.9732E+02
   1.408      0.9731E+02      0.9731E+02
   1.427      0.9730E+02      0.9730E+02
   1.445      0.9729E+02      0.9729E+02
   1.463      0.9728E+02      0.9728E+02
   1.482      0.9728E+02      0.9728E+02
   1.500      0.9727E+02      0.9727E+02
   1.518      0.9726E+02      0.9726E+02
   1.536      0.9725E+02      0.9725E+02
   1.555      0.9724E+02      0.9724E+02
   1.573      0.9723E+02      0.9723E+02
   1.591      0.9722E+02      0.9722E+02
   1.610      0.9721E+02      0.9721E+02
   1.628      0.9720E+02      0.9720E+02
   1.646      0.9719E+02      0.9719E+02
   1.665      0.9718E+02      0.9718E+02
   1.683      0.9717E+02      0.9717E+02
   1.701      0.9716E+02      0.9716E+02
   1.719      0.9715E+02      0.9715E+02
   1.738      0.9714E+02      0.9714E+02
   1.756      0.9713E+02      0.9713E+02
   1.774      0.9711E+02      0.9711E+02
   1.792      0.9710E+02      0.9710E+02
   1.811      0.9709E+02      0.9709E+02
   1.829      0.9708E+02      0.9708E+02
   1.847      0.9707E+02      0.9707E+02
   1.866      0.9705E+02      0.9705E+02
   1.884      0.9704E+02      0.9704E+02
   1.902      0.9703E+02      0.9703E+02
   1.921      0.9702E+02      0.9702E+02
   1.939      0.9700E+02      0.9700E+02
   1.957      0.9699E+02      0.9699E+02
   1.975      0.9698E+02      0.9698E+02
   1.994      0.9696E+02      0.9696E+02
   2.012      0.9695E+02      0.9695E+02
   2.030      0.9693E+02      0.9693E+02
   2.049      0.9692E+02      0.9692E+02
   2.067      0.9690E+02      0.9690E+02
   2.085      0.9689E+02      0.9689E+02
   2.103      0.9687E+02      0.9687E+02
   2.122      0.9686E+02      0.9686E+02
   2.140      0.9684E+02      0.9684E+02
   2.158      0.9683E+02      0.9683E+02
